x,y,theta
-0.75,0,0.0
-0.6505454936722611,-0.008510092237704589,-0.21339941009522967
-0.573691826960446,-0.030395113568015702,-0.3841189381714134
-0.48467376616751745,-0.07555488938073401,-0.5975183482666431
-0.4072390271256421,-0.13854283813527865,-0.8109177583618727
-0.3449005723830369,-0.21650140122550404,-1.0243171684571024
-0.30048649511253606,-0.30589385190786567,-1.2377165785523327
-0.259926964487915,-0.3970999096798081,-1.0243171684571024
-0.21551288721741413,-0.48649236036216975,-1.2377165785523327
-0.19103810981683858,-0.5832632535583203,-1.4511159886475635
-0.170714536839371,-0.6809902860530095,-1.2434475129828164
-0.14290171652202763,-0.7769995597431862,-1.3393052475109786
-0.11180087153705348,-0.871848692264307,-1.1259058374157478
-0.06131802530491985,-0.9579596830557922,-0.9125064273205181
0.00625657944436296,-1.03142595621407,-0.6991070172252885
0.08349984377939718,-1.0949316730277718,-0.6762137236552901
0.1647272512744966,-1.1531544980740318,-0.5633348381472985
0.24864019808469123,-1.2075422803624631,-0.588415550426761
0.3360920345092712,-1.2556650068516908,-0.37501614033153086
0.4255174819007385,-1.300012609465862,-0.5884155504267605
0.5129693183253184,-1.3481353359550896,-0.37501614033153086
0.6086290473503633,-1.3766456278098482,-0.1616167302363012
0.7081568978396148,-1.384250065710027,0.05178267985892848
0.807052152884996,-1.3706684183718076,0.25146132256900966
0.9051081011834406,-1.3513988987743815,0.13152974256754657
1.0025874563110624,-1.3299187725482282,0.34492915266277624
1.0933065160755968,-1.2882813771658645,0.5583285627580059
1.1731496514543915,-1.2283756659884486,0.7717279728532356
1.238917096764083,-1.1532387170126746,0.9466023105927395
1.2901372506518705,-1.0675642381143478,1.1600017206879691
1.3376552943804543,-0.9797823719972683,0.9466023105927395
1.3888754482682417,-0.8941078930989415,1.1600017206879691
1.4207893222626968,-0.7995292213729411,1.3734011307831988
1.4300296382707798,-0.7402818857626958,1.5014407768403366
1.4284321988368762,-0.6404767321580673,1.7148401869355663
1.4057339182442934,-0.5432738075265067,1.928239597030796
1.3629645437436488,-0.45308289277556235,2.1416390071260256
1.3020643829112388,-0.3739956567044044,2.3550384172212553
1.2257962781977747,-0.3096000302830042,2.568437827316485
1.1376202657420365,-0.2628174338801323,2.7818372374117146
1.0471851234891998,-0.2204615288473073,2.609712331514366
0.9657856960391241,-0.16268823303004973,2.3963129214191365
0.8914074939269001,-0.09585170774485563,2.4252303903398236
0.75,0,1.5707963267948966
